                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.22432,                0.18724,                0.85448,                0.25712,                0.14079,                0.86608,                0.99732,                0.99988,                0.99488,                0.99291,                0.12998,                0.10957,                0.75801,                0.15655,                 0.0666,                0.76195,              0.0015446,              0.0015446,              0.0015446
                     26,                0.22537,                0.18779,                0.85434,                 0.2591,                0.13786,                 0.8668,                0.99596,                0.99732,                0.99451,                0.99323,                0.12159,                0.10681,                0.75622,                0.13064,                0.05834,                0.75912,              0.0015248,              0.0015248,              0.0015248
                     27,                 0.2219,                0.18479,                0.85402,                0.24994,                0.13826,                  0.864,                0.99598,                0.99854,                0.99495,                0.99337,                0.14019,                0.11863,                0.75866,                0.14098,                0.05986,                0.76151,               0.001505,               0.001505,               0.001505
                     28,                 0.2272,                0.18348,                0.85079,                0.25544,                0.12895,                0.86098,                0.99598,                0.99709,                0.99369,                0.99137,                0.13971,                0.11847,                0.75918,                0.15706,                0.07069,                0.76328,              0.0014852,              0.0014852,              0.0014852
                     29,                0.21757,                  0.179,                0.85076,                0.24748,                0.13371,                0.86197,                0.99599,                0.99893,                0.99481,                0.99322,                 0.1267,                0.10792,                0.75705,                0.13926,                0.06036,                0.75952,              0.0014654,              0.0014654,              0.0014654
                     30,                0.22268,                0.18122,                0.85021,                0.25252,                0.13009,                0.85927,                0.99574,                0.99866,                0.99406,                0.99248,                0.12473,                0.10476,                0.75643,                0.12866,                0.05937,                0.75841,              0.0014456,              0.0014456,              0.0014456
                     31,                0.21879,                0.17714,                0.84851,                0.24768,                0.12599,                0.85885,                 0.9937,                0.99732,                0.99455,                0.99291,                0.12993,                0.10436,                0.75724,                0.12992,                0.05945,                0.75846,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.2124,                  0.175,                0.84818,                 0.2389,                0.12295,                0.85719,                0.99839,                0.99866,                0.99489,                0.99375,                0.11758,                0.10215,                0.75571,                0.12032,                 0.0534,                0.75719,               0.001406,               0.001406,               0.001406
                     33,                0.21315,                0.17634,                0.85027,                0.24057,                0.12455,                0.86027,                0.99731,                0.99381,                  0.994,                0.99253,                0.11579,                0.10897,                0.75558,                0.12825,                0.06296,                0.75775,              0.0013862,              0.0013862,              0.0013862
                     34,                0.21542,                 0.1723,                0.84929,                0.24027,                0.12415,                0.85884,                0.99664,                      1,                0.99438,                0.99326,                0.12423,                0.09976,                 0.7563,                0.12535,                0.05689,                0.75768,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.2073,                0.16747,                0.84674,                0.22932,                 0.1178,                 0.8546,                0.99835,                0.99866,                 0.9945,                0.99267,                  0.121,                0.09983,                0.75598,                0.12346,                0.05411,                0.75798,              0.0013466,              0.0013466,              0.0013466
                     36,                0.20812,                0.16822,                0.85044,                0.23487,                0.12031,                  0.859,                 0.9971,                      1,                0.99447,                0.99374,                0.11913,                0.10294,                0.75734,                0.12337,                0.05355,                0.75859,              0.0013268,              0.0013268,              0.0013268
                     37,                0.20977,                0.16788,                0.84961,                0.23412,                0.11756,                 0.8594,                0.99732,                0.99925,                0.99434,                0.99407,                0.12393,                0.11091,                0.75618,                0.13205,                0.05508,                 0.7583,               0.001307,               0.001307,               0.001307
                     38,                0.21038,                0.17043,                0.84725,                0.23089,                0.11788,                 0.8551,                0.99866,                0.99859,                0.99453,                0.99346,                0.11829,                 0.1062,                 0.7559,                0.12065,                0.05391,                0.75755,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.2102,                0.16814,                0.84899,                0.23237,                0.11684,                0.85638,                0.99763,                0.99866,                0.99483,                0.99445,                0.11874,                0.09857,                0.75597,                 0.1227,                0.05191,                0.75709,              0.0012674,              0.0012674,              0.0012674
                     40,                0.20077,                0.16134,                0.84552,                0.22526,                0.11424,                0.85365,                0.99862,                      1,                0.99485,                0.99445,                0.11477,                0.09721,                0.75522,                0.11798,                0.04951,                0.75629,              0.0012476,              0.0012476,              0.0012476
                     41,                0.20249,                0.16352,                0.84697,                0.22817,                0.11722,                 0.8561,                0.99732,                0.99742,                0.99441,                0.99416,                0.11531,                0.09621,                0.75489,                0.11838,                0.05464,                0.75571,              0.0012278,              0.0012278,              0.0012278
                     42,                0.19669,                0.15703,                0.84472,                0.21852,                0.11115,                0.85298,                0.99803,                0.99329,                 0.9945,                0.99432,                0.11361,                 0.0976,                0.75485,                0.11187,                0.06016,                0.75557,               0.001208,               0.001208,               0.001208
                     43,                0.20129,                0.16035,                0.84436,                0.21959,                   0.11,                0.85149,                0.99703,                0.99866,                0.99398,                0.99362,                0.11603,                0.09818,                0.75519,                 0.1148,                0.05255,                0.75629,              0.0011882,              0.0011882,              0.0011882
                     44,                0.20483,                0.15992,                0.84627,                0.22649,                0.11072,                0.85356,                0.99579,                      1,                0.99406,                0.99374,                0.11827,                0.10283,                0.75575,                0.11937,                 0.0557,                0.75645,              0.0011684,              0.0011684,              0.0011684
                     45,                0.19389,                0.15678,                0.84112,                0.21563,                0.11375,                0.84946,                0.99865,                0.99575,                0.99379,                0.99337,                 0.1103,                0.09616,                0.75008,                0.11302,                  0.051,                0.75072,              0.0011486,              0.0011486,              0.0011486
                     46,                0.19573,                0.15867,                0.84483,                0.21707,                0.10969,                0.85329,                0.99866,                0.99729,                0.99456,                0.99405,                0.11213,                0.09631,                0.75519,                0.11007,                0.05191,                0.75604,              0.0011288,              0.0011288,              0.0011288
                     47,                0.19977,                0.15985,                0.84918,                0.22018,                0.11218,                 0.8566,                0.99731,                0.99707,                0.99493,                0.99448,                 0.1139,                0.09572,                0.75536,                0.11714,                0.05274,                0.75671,               0.001109,               0.001109,               0.001109
                     48,                0.19609,                0.15845,                0.84434,                0.21941,                0.11029,                0.85282,                0.99835,                0.99597,                0.99461,                0.99435,                0.10658,                0.08922,                0.75426,                0.11303,                0.04917,                0.75563,              0.0010892,              0.0010892,              0.0010892
                     49,                0.18718,                 0.1519,                0.83887,                0.21008,                 0.1073,                0.84701,                0.99333,                0.99926,                 0.9948,                0.99426,                0.10728,                0.09202,                0.75464,                0.11108,                0.05335,                0.75665,              0.0010694,              0.0010694,              0.0010694
                     50,                0.19441,                0.15641,                0.84587,                0.21357,                0.10802,                0.85237,                0.99716,                0.99329,                0.99468,                0.99432,                0.12062,                0.10464,                0.75843,                0.12822,                0.06196,                0.76036,              0.0010496,              0.0010496,              0.0010496
                     51,                0.19056,                0.15357,                0.84374,                0.21025,                0.10593,                0.85174,                0.99681,                      1,                0.99406,                0.99263,                0.10889,                0.09277,                0.75473,                0.11498,                0.04945,                0.75646,              0.0010298,              0.0010298,              0.0010298
                     52,                0.18993,                0.15228,                0.84225,                0.20735,                 0.1073,                0.84799,                0.99598,                0.99716,                0.99401,                 0.9938,                0.11658,                0.09667,                 0.7585,                0.11312,                0.05154,                0.75934,                0.00101,                0.00101,                0.00101
                     53,                0.18939,                0.15057,                0.84745,                0.20767,                0.10562,                 0.8548,                0.99732,                 0.9983,                0.99395,                 0.9937,                0.10678,                0.08955,                0.75519,                0.10645,                0.04978,                0.75618,              0.0009902,              0.0009902,              0.0009902
                     54,                0.19152,                 0.1524,                0.84612,                0.21164,                0.10697,                0.85254,                0.99764,                      1,                0.99406,                0.99354,                0.11043,                0.08963,                0.75479,                0.11496,                0.04866,                0.75607,              0.0009704,              0.0009704,              0.0009704
                     55,                0.18836,                0.15197,                 0.8418,                 0.2072,                  0.107,                  0.848,                 0.9964,                0.99732,                0.99443,                0.99403,                0.10495,                0.08937,                0.75425,                0.10381,                0.04807,                0.75488,              0.0009506,              0.0009506,              0.0009506
                     56,                0.18766,                0.14831,                0.84552,                0.20634,                0.10514,                 0.8511,                0.99732,                0.99768,                0.99401,                0.99365,                0.10753,                0.08769,                0.75449,                0.11063,                0.04907,                 0.7553,              0.0009308,              0.0009308,              0.0009308
                     57,                0.18221,                0.14537,                0.84201,                 0.1989,                0.10111,                0.84878,                0.99731,                0.99571,                0.99461,                0.99433,                0.10541,                0.08669,                0.75431,                0.10637,                0.05077,                0.75499,               0.000911,               0.000911,               0.000911
                     58,                0.18317,                0.14522,                0.84274,                0.19992,                0.10275,                0.84876,                0.99862,                0.99866,                0.99426,                0.99417,                 0.1021,                0.08418,                0.75384,                0.10113,                0.04613,                0.75417,              0.0008912,              0.0008912,              0.0008912
                     59,                0.18202,                 0.1449,                0.83879,                0.20262,                0.10453,                0.84621,                0.99716,                0.99597,                 0.9945,                0.99431,                0.10338,                0.08481,                0.75369,                0.10483,                0.05272,                0.75457,              0.0008714,              0.0008714,              0.0008714
                     60,                0.17826,                0.14099,                0.83726,                0.19697,                0.10011,                0.84422,                0.99598,                0.99839,                0.99466,                0.99463,                0.10784,                0.08583,                0.75443,                0.10524,                0.05054,                0.75454,              0.0008516,              0.0008516,              0.0008516
                     61,                0.18061,                0.14262,                0.83922,                0.19838,                0.10068,                  0.845,                0.99844,                      1,                0.99471,                0.99454,                0.10207,                 0.0821,                 0.7535,                0.10369,                0.04445,                0.75444,              0.0008318,              0.0008318,              0.0008318
                     62,                0.17632,                0.13945,                0.83877,                0.19139,                0.09547,                0.84385,                0.99599,                0.99942,                0.99488,                0.99479,                0.10562,                0.08416,                0.75459,                0.10838,                 0.0507,                0.75624,               0.000812,               0.000812,               0.000812
                     63,                0.18075,                0.14374,                0.83884,                0.19946,                0.10233,                0.84467,                0.99732,                0.99999,                0.99482,                 0.9948,                0.10109,                0.08301,                0.75333,                0.11032,                0.05043,                0.75448,              0.0007922,              0.0007922,              0.0007922
                     64,                0.17179,                0.13702,                0.83598,                0.18733,                0.09422,                0.84146,                0.99682,                      1,                0.99489,                0.99484,                0.10454,                0.08262,                0.75414,                0.10578,                  0.046,                0.75451,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.1706,                0.13841,                 0.8365,                0.18688,                0.09753,                0.84175,                0.99579,                      1,                0.99488,                0.99479,                0.10097,                0.08102,                0.75317,                0.10148,                0.04621,                0.75385,              0.0007526,              0.0007526,              0.0007526
                     66,                0.17477,                0.13963,                0.83813,                0.19021,                0.09785,                0.84442,                0.99834,                      1,                0.99464,                0.99323,                0.10486,                 0.0828,                0.75442,                0.10863,                0.04605,                0.75555,              0.0007328,              0.0007328,              0.0007328
                     67,                0.16802,                0.13483,                0.83533,                0.18282,                0.09381,                0.84052,                0.99589,                      1,                0.99485,                 0.9946,                0.10136,                0.08038,                0.75352,                0.10386,                0.04877,                0.75398,               0.000713,               0.000713,               0.000713
                     68,                0.16908,                0.13476,                0.83591,                0.18377,                0.09417,                0.84136,                0.99832,                0.99597,                0.99449,                0.99427,                0.09812,                0.07904,                0.75361,                0.10052,                0.04948,                0.75433,              0.0006932,              0.0006932,              0.0006932
                     69,                0.17068,                0.13451,                0.83548,                0.18707,                0.09556,                0.83976,                0.99717,                0.99866,                0.99445,                0.99393,                 0.1043,                0.08252,                0.75429,                0.10387,                0.04928,                0.75465,              0.0006734,              0.0006734,              0.0006734
                     70,                0.17376,                0.14199,                0.84094,                0.18829,                0.10237,                0.84643,                 0.9826,                0.99463,                0.99458,                 0.9941,                0.10515,                0.09371,                 0.7567,                0.10355,                0.07138,                0.75748,              0.0006536,              0.0006536,              0.0006536
                     71,                0.17236,                 0.1419,                0.83955,                0.18739,                0.10141,                0.84494,                0.99461,                0.99073,                0.99446,                0.99416,                0.10607,                0.08696,                0.75578,                0.10823,                0.06015,                0.75658,              0.0006338,              0.0006338,              0.0006338
                     72,                0.16721,                0.13609,                0.83624,                0.18225,                0.09848,                  0.841,                0.98881,                0.99597,                0.99418,                0.99395,                0.10026,                0.08258,                 0.7541,                0.10319,                0.06703,                0.75556,               0.000614,               0.000614,               0.000614
                     73,                0.16775,                0.13414,                0.83349,                0.17911,                0.09428,                0.83764,                 0.9973,                0.99135,                0.99451,                0.99404,                0.10036,                0.08164,                0.75363,                0.10003,                0.05689,                 0.7543,              0.0005942,              0.0005942,              0.0005942
                     74,                0.16356,                0.13129,                0.83672,                0.17699,                0.09523,                0.84128,                0.99545,                0.99597,                0.99486,                0.99465,                0.10191,                0.08329,                0.75448,                0.10203,                 0.0535,                 0.7553,              0.0005744,              0.0005744,              0.0005744
                     75,                0.16766,                0.13192,                0.83652,                0.18128,                0.09316,                0.84033,                0.99732,                0.99821,                0.99437,                0.99408,                0.09833,                0.07906,                0.75392,                0.10016,                0.05067,                0.75449,              0.0005546,              0.0005546,              0.0005546
                     76,                0.16139,                0.12729,                0.83484,                0.17408,                0.08732,                0.83894,                0.99455,                      1,                0.99406,                  0.994,                0.09739,                0.07861,                0.75334,                0.10005,                0.04958,                0.75386,              0.0005348,              0.0005348,              0.0005348
                     77,                0.15936,                0.12864,                 0.8326,                0.17199,                0.08838,                0.83629,                0.99731,                 0.9958,                0.99413,                0.99395,                0.09852,                0.07921,                0.75416,                0.09863,                0.05068,                0.75542,               0.000515,               0.000515,               0.000515
                     78,                 0.1593,                0.12645,                0.83071,                 0.1724,                0.08652,                0.83475,                0.99732,                0.99882,                0.99438,                0.99424,                0.09567,                0.07444,                0.75332,                0.09575,                0.04416,                0.75389,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.1585,                0.12588,                0.82909,                0.17059,                0.08426,                0.83291,                0.99834,                      1,                 0.9943,                0.99403,                 0.0984,                0.07651,                0.75396,                0.10251,                0.04491,                0.75488,              0.0004754,              0.0004754,              0.0004754
                     80,                0.15799,                0.12921,                0.83492,                0.16882,                 0.0881,                0.83841,                0.99856,                      1,                0.99434,                0.99411,                0.09457,                0.07636,                0.75459,                0.09556,                0.04101,                0.75558,              0.0004556,              0.0004556,              0.0004556
                     81,                0.16023,                 0.1261,                0.83482,                 0.1707,                0.08401,                0.83914,                0.99866,                0.99953,                0.99421,                0.99403,                0.09518,                0.07674,                0.75348,                0.09394,                0.04327,                0.75391,              0.0004358,              0.0004358,              0.0004358
                     82,                0.16015,                0.13127,                0.83605,                0.17229,                0.08971,                0.84066,                0.99571,                      1,                0.99422,                 0.9936,                0.10221,                0.08416,                0.75564,                 0.1021,                0.04568,                0.75645,               0.000416,               0.000416,               0.000416
                     83,                0.15633,                0.12512,                 0.8316,                0.16804,                0.08403,                0.83527,                0.99712,                      1,                 0.9943,                0.99328,                0.09601,                0.07887,                0.75458,                0.09491,                0.04271,                0.75526,              0.0003962,              0.0003962,              0.0003962
                     84,                0.15006,                0.12084,                 0.8312,                0.16209,                0.08052,                 0.8347,                0.99858,                      1,                0.99477,                0.99461,                0.09385,                0.07529,                0.75357,                0.09449,                0.03986,                0.75491,              0.0003764,              0.0003764,              0.0003764
                     85,                0.15216,                0.12093,                0.83104,                0.16295,                0.08114,                0.83434,                0.99454,                      1,                0.99483,                 0.9947,                0.09505,                0.07693,                0.75423,                0.09535,                0.04353,                0.75476,              0.0003566,              0.0003566,              0.0003566
                     86,                0.15124,                0.12297,                0.82781,                0.16167,                0.08182,                0.83067,                0.99599,                0.99903,                 0.9947,                0.99459,                 0.0954,                0.07459,                0.75451,                0.09622,                0.04336,                0.75529,              0.0003368,              0.0003368,              0.0003368
                     87,                0.14922,                0.11775,                0.83012,                0.16043,                0.08062,                0.83454,                0.99565,                      1,                0.99478,                0.99472,                0.09549,                0.07195,                0.75404,                0.09629,                0.04285,                0.75528,               0.000317,               0.000317,               0.000317
                     88,                0.14627,                0.11485,                0.82984,                0.15544,                 0.0765,                0.83285,                0.99729,                      1,                0.99477,                0.99467,                0.09279,                0.07052,                 0.7541,                0.09299,                0.04284,                0.75492,              0.0002972,              0.0002972,              0.0002972
                     89,                0.14555,                0.11602,                0.82744,                0.15589,                0.07954,                0.83104,                 0.9959,                0.99866,                0.99454,                 0.9944,                0.09388,                0.07428,                 0.7539,                0.09512,                0.04528,                0.75449,              0.0002774,              0.0002774,              0.0002774
                     90,                0.14635,                0.11607,                 0.8288,                 0.1542,                0.07757,                0.83091,                0.99856,                      1,                0.99491,                0.99466,                0.09336,                0.07127,                0.75354,                0.09478,                0.03919,                0.75461,              0.0002576,              0.0002576,              0.0002576
                     91,                0.10073,                0.08284,                 0.7653,                0.10146,                  0.049,                0.76579,                0.99697,                0.99732,                0.99484,                0.99444,                0.09445,                0.07169,                0.75411,                0.09575,                0.04572,                0.75555,              0.0002378,              0.0002378,              0.0002378
                     92,                0.10059,                0.08485,                0.76181,                0.10131,                0.04937,                0.76229,                0.99866,                0.99957,                0.99491,                0.99468,                0.09518,                 0.0727,                0.75324,                0.09604,                 0.0406,                0.75413,               0.000218,               0.000218,               0.000218
                     93,                0.09709,                0.08005,                0.76571,                0.09768,                0.04646,                0.76601,                0.99719,                      1,                0.99484,                0.99452,                0.09133,                0.07009,                0.75285,                0.09096,                0.04009,                0.75279,              0.0001982,              0.0001982,              0.0001982
                     94,                0.09469,                0.07836,                0.76049,                0.09625,                0.04575,                0.76102,                0.99852,                0.99866,                0.99495,                0.99471,                0.09152,                0.06951,                0.75311,                0.09239,                0.04157,                0.75319,              0.0001784,              0.0001784,              0.0001784
                     95,                0.09451,                0.07807,                0.76296,                0.09538,                0.04668,                0.76347,                0.99732,                0.99998,                 0.9937,                0.99333,                0.09013,                0.06729,                0.75337,                0.09087,                0.04173,                0.75357,              0.0001586,              0.0001586,              0.0001586
                     96,                0.09334,                 0.0759,                0.76297,                0.09288,                 0.0465,                0.76323,                0.99866,                0.99987,                0.99481,                0.99436,                 0.0902,                0.06761,                0.75371,                0.08922,                0.03946,                0.75381,              0.0001388,              0.0001388,              0.0001388
                     97,                0.09158,                0.07508,                0.76452,                0.09199,                 0.0444,                0.76483,                0.99855,                0.99866,                0.99493,                0.99473,                0.08884,                 0.0666,                0.75354,                0.08918,                0.03893,                0.75384,               0.000119,               0.000119,               0.000119
                     98,                0.09066,                0.07334,                0.76375,                 0.0909,                0.04383,                0.76394,                0.99866,                0.99989,                0.99496,                0.99462,                 0.0886,                0.06579,                0.75323,                0.08801,                0.03883,                0.75358,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.08972,                0.07273,                0.76314,                0.08953,                0.04506,                0.76355,                0.99866,                0.99844,                0.99496,                 0.9946,                0.08789,                 0.0644,                 0.7535,                0.08972,                 0.0394,                0.75368,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.08852,                0.07225,                0.76237,                0.08796,                0.04465,                0.76271,                0.99854,                      1,                0.99403,                0.99374,                0.08666,                0.06302,                0.75324,                0.08644,                0.03779,                0.75343,               5.96e-05,               5.96e-05,               5.96e-05
